Text,Category
citibank norway unit lose six mln crown 1986 citibank ccin norwegian subsidiari usbas bank said made net loss six mln crown 1986 although foreign banker said expect show 1987 profit two lean year citibank oslo treasuri head bjoern sejerstad told reuter citibank one seven foreign bank subsidiari oper norway lost money restructur invest bank away commerci bank econom slump norway follow last year plung oil price foreign bank allow oper susbidiari norway sinc 1985 foreign bank analyst oslo said access norway secondhand secur equiti market approv later spring lower primari reserv requir would make profit year citibank lost 490000 crown norway 1985 sejerstad said profit like year plan liberalis better econom perform help steadier oil price around 18 dlr barrel earlier year chase manhattan bank cmbn subsidiari decid stop foreign exchang trade heavi loss focu instead feebas merchant bank,earn
vieill montagn say 1986 condit unfavour sharp fall dollar price zinc depreci u currenc creat unfavour econom condit vieill montagn sa vmnbbr 1986 said statement two factor led squeez refin margin 1824 pct fall sale servic incom despit unchang level activ vieill montagn activ pursu restructur program report 198 mln franc net loss 187 mln franc provis closur electrolysi plant compar 250 mln franc net profit 1985,earn
vieill montagn report loss dividend nil 1986 year net loss except charg 198 mln franc v profit 250 mln except provis closur viviez electrolysi plant 187 mln franc v except gain 22 mln sale servic 1651 billion franc v 2020 billion propos net dividend ordinari share nil v 110 franc compani full name vieill montagn sa vmnbbr,earn
japan given littl hope avoid u sanction top u offici said japan littl chanc convinc u drop threaten trade sanction despit effort japanes team left washington today michael armacost secretari state polit affair ask press confer whether japan move boost domest economi open market could persuad u impos tariff japanes import said repli probabl earli figur demonstr situat turn around permit result describ armacost said u hope japan take step lift domest economi reduc depend export remov barrier import settl outstand trade issu obviou problem moment trade area wish problem divert attent import area cooper continu exist secur polit issu said question whether cooper action govern reduc trade imbal whether congress take action reduc protectionist legisl said,trade
ec sugar tender hard predict london trade outcom today european commun ec white sugar tender extrem difficult predict last week substanti award 102350 tonn highest ever rebat 46864 european currenc unit ecu per 100 kilo trader said said believ tonnag would probabl smaller around 60000 tonn declin give view like restitut last week european commiss accept 785000 tonn sugar intervent oper protest low rebat might determin factor today result ad,sugar
north yemen call sugar buy tender trade north yemen call buy tender saturday purchas 30000 tonn white sugar arriv june trader said,sugar
anheuserbusch join bid san miguel anheuserbusch compani inc budn join sever foreign bidder sequest share philippin largest food beverag maker san miguel corp sanmmn head govern panel control share told reuter ramon diaz secretari presidenti commiss good govern pcgg said anheuserbusch told govern interest buy 14 mln b share san miguel disclos offer price diaz said australian brewer alan bond bond corp hold ltd offer 150 peso per share b share diaz said new york invest bank allen co inc earlier said interest buy 381 mln sequest share told reuter last month elder ixl ltd elxa melbournebas brew compani also bid b share hong kong econom journal last month quot spokesman australian stock broker jackson ltd say barwon farmland ltd australian firm own 30 pct ariadn australia ltd plan filipino branch order buy entir block 381 mln share anheuserbusch last year made 150 mln dlr bid buy san miguel breweri ltd hong kong list compani 6965 pct own neptunia corp ltd san miguel corp subsidiari talk broke last june two side said could agre term sale,acq
econom spotlight australian market boom australian market boom foreign fund manag redirect capit away unit state tradit market analyst said high shortterm interest rate bullish stock market increasingli stabl currenc reflect massiv inflow fresh fund last two month larg japanes u investor analyst poll reuter said fund manag want qualiti market park cash settl australia britain canada diversifi volatil u dollar instrument said one percentag point fall key 10year bond rate past month record share price 10month high currenc 071 u dlr illustr inflow offici figur latest inflow invest capit avail broker said receiv almost daili inquiri japan unit state peopl got trillion dollar slosh dont know end attract high interest rate reason currenc stabil nation australia bank ltd economist brian hamley said flight qualiti hamley said australia may best econom posit arent mani countri youd want put money stronger australian dollar also attract investor take advantag appreci currenc volatil u unit analyst said look favour market perhap u peopl would concern valu u dollar lloyd bank nza ltd chief economist buttros said put money australia entri cheap currenc look stabl turn capit perman product invest depend govern econom polici said disappear peopl lose confid direct economi buttros said ad offshor investor would care watch govern promis tough econom statement may 14 happi invest bond vehicl yield interest unobtain elsewher fund manag could easili revers flow particularli japanes badli hurt past rapid fall australian dollar hefti jump bond rate analyst said remain edgi money someth deliv statement wasnt consid tough enough one might see substanti outflow buttros said offshor investor eager see australia take tough econom decis curb 100 billion dlr foreign debt stubborn current account deficit analyst said give u benefit doubt think would like leav money buttros said reserv bank polici also reflect increas interest invest australia need shield japanes investor rapid currenc fluctuat reserv governor bob johnston last week acknowledg element target rate yen currenc polici said author could take eye yen crucial role japanes investor analyst said believ reserv bank work success recent month keep australian dollar within rang 100 103 yen apart recoveri weak u dollar australian dollar also risen almost three pct tradeweight basi last three week offshor buy also play role boom australian share market follow wall street market also set trend respons weight domest offshor fund pour equiti particularli gold sector key ordinari index rose record 17583 today nearli 20 pct level end 1986 gold index nearli doubl record 30810 period properti sector also sought japanes compani invest heavili unit state recent year turn attent undervalu real estat particularli tourism field analyst point recent sale sydney fivestar regent hotel japanes interest 145 mln dlr indic type properti sought think find good valu real estat long term fix capit invest kind invest australia need buttros ad,money-fx
jardin matheson said set twoforf bonu issu replac b share jardin matheson said set twoforf bonu issu replac b share,earn
monier say britain redland may bid diversifi build materi group monier ltd mnra said talk take place may lead britain redland plc rdldl make offer monier share alreadi hold chairman bill lock said redland alreadi hold 49 pct monier 15628 mln issu share said brief notic australian stock exchang lock said sharehold would advis soon discus progress recommend keep share monier share trade 1987 high 310 dlr today previou peak 280 yesterday close well 1987 low 218 dlr monier largest concret roof tile manufactur australia u new zealand world largest market fli ash accord annual report 198586 end june 30 recent report firsthalf 198687 net fell 1502 mln dlr 1709 mln year earlier due australian hous downturn although foreign earn rose,acq
isuzu plan interim dividend isuzu motor ltd isumt pay dividend first half year end april 30 1987 compani expect mark 12 billion yen parent compani current loss first half due slow export caus yen appreci compani spokesman said compani paid dividend sinc year end octob 31 1983 paid five yen 444 billion yen current profit first half 198586,earn
japanes offici take data microchip talk ministri intern trade industri miti vice minist makoto kuroda leav washington today data hope refut u charg japan violat pact microchip trade threeman japanes trade team alreadi washington lay groundwork talk kuroda deputi u trade repres michael smith aim persuad u impos tariff certain japanes product kuroda said take new propos noth briefcas except explan current situat kuroda told daili newspap asahi shimbun kuroda said u decis base incorrect data exagger sen miti power control market forc u excess expect stabilis supplydemand relat disrupt excess inventori sinc 1985 take time said kuroda also laid part blame low u chip sale japan lack effort american firm said fail talk tomorrow friday forestal sanction seek talk u trade repres clayton yeutter u offici said week talk unlik delay imposit tariff,trade
bell group confirm standard charter stake bell group ltd blla said hold 149 pct issu capit standard charter plc stchl acquir share onesent statement bell headquart confirm broker warburg secur told reuter london yesterday bell previous held 10 pct standard bell chairman robert holm court also director standard avail comment compani intent boost hold compani offici contact reuter declin comment,acq
nippon steel deni china seek japanes plant nippon steel corp nstct deni local newspap report china seek buy steel plant japanes firm plan suspend output recent announc rationalis program mainichi shimbun quot nippon steel say china state plan commiss chine firm ask japanes maker sell steel work roll mill expand steelmak cheapli name sourc nippon steel spokesman told reuter china made offici request compani consid sale moment mainichi quot nippon steel offici say price reason would export use mill china paper said china crude steel output total 52 mln tonn calendar 1986 plan increas 80 mln 1996 japan steel industri rationalis plan aim cut product capac sharpli next year,acq
jardin matheson replac b share bonu issu jardin matheson hold ltd jardhk said withdraw previous announc fourforon bonu issu b share replac twoforf bonu issu ordinari share statement said firm expect pay total dividend 1987 le 40 cent share expand capit jardin matheson decid withdraw issu joint announc earlier today ronald li chairman stock exchang hong kong secur commission ray astin list new b share would bar offici announc said includ propos jardin matheson jardin statement quot chairman simon keswick say continu believ issu b share would benefit sharehold regret given opportun vote matter stage keswick said b share issu benefit jardin matheson sharehold give firm flexibl issu ordinari share expans futur without dilut exist sharehold vote right howev ad certainli welcom secretari monetari affair david nendick referr import matter stand committe compani law reform hope process lead develop gener principl embrac constitu hong kong market,earn
japan given littl hope avoid u sanction top u offici said japan littl chanc persuad u drop threaten trade sanction despit effort japanes team left washington today michael armacost secretari state polit affair ask press confer whether japan move boost domest economi open market could persuad u impos tariff japanes import said repli probabl earli figur demonstr situat turn around permit result describ armacost said u hope japan take step lift domest economi reduc depend export remov barrier import settl outstand trade issu obviou problem moment trade area wish problem divert attent import area cooper continu exist secur polit issu said question whether cooper action govern reduc trade imbal whether congress take action reduc protectionist legisl said,trade
uk money market given 53 mln stg assist bank england said provid money market 53 mln stg assist morn session compar bank estim shortag system around 300 mln stg earlier revis 250 mln central bank made outright purchas bank bill compris 46 mln stg band three 934 pct seven mln stg band four 91116 pct,interest
san miguel deal hit lawsuit bid san miguel corp smc sanmmn buy back 381 mln sequest share unit coconut planter bank ucpb hit two new lawsuit sourc philippin food breweri compani said manila court yesterday issu injunct bar ucpb sell share repres 31 pct smc outstand capit stock 121 mln share hear april 21 petit file eduardo cojuangco former chairman smc ucpb cojuangco said coconut industri invest fund ciif 14 mln farmer right owner share cojuangco said share held trust ucpb repres blue chip invest petit said ucpb plan sell share smc seriou breach fiduciari duti smc sourc said propos share sale could also held second deriv suit file secur exchang commiss sec eduardo de lo angel govern nomine compani board de lo angel repres smc minor stockhold ask sec block transact approv last week compani board april 2 board sanction repurchas sequest share 479 billion peso 126 peso per share de lo angel told sec compani retain earn 133 billion peso would wipe purchas share would prevent declar dividend de lo angel said share purchas would also violat smc agreement creditor maintain 22to1 debt equiti ratio quot smc chief financi director ramon del rosario tell board transact would boost ratio 25to1 petit sec de lo angel amend earlier suit two week ago charg smc chairman andr soriano iii nine director violat duti de lo angel earlier complaint relat smc assum last decemb 265 mln dlr loan contract smc hong kong subsidiari neptunia corp payment share loan assumpt ratifi last week board meet arbitr panel set presid corazon aquino resolv ownership issu expect submit report april 15 amend suit file eduardo de lo angel part continu attempt certain element complet disregard fact question motiv delay earli disposit sequest share san miguel corp said statement come san miguel corp ucpb reach agreement price share method payment suit direct contravent govern express desir reach amic settlement controversi april 15 statement ad san miguel spokesman said comment cojuangco court petit ad statement come u might interpret adversari meanwhil ramon diaz head govern panel sequest share last year said soriano elig buy major portion share unit state citizen sequest share split 24 mln share own filipino 14 mln b share avail foreign buyer smc sourc said soriano person among prospect buyer said share would purchas asoriano group compani smc neptunia unnam institut investor soriano name one buyer bid march 1986 33 mln share control ucpb sale abort diaz presidenti commiss good govern sequest share suspicion own cojuangco close associ former presid ferdinand marco cojuangco live selfimpos exil u share grew 381 mln 15 pct stock dividend announc last june object soriano buy b share diaz told reuter everyth hold smc spokesman said know controversi would resolv compani annual stockhold meet schedul may 14 san miguel corp report sale revenu 122 billion peso 1986 11 pct 109 billion peso sale 1985 said unaudit net profit neighbourhood 700 mln peso increas 50 pct 1985,acq
rain boost central queensland sugar cane crop good rain one four inch past 10 day boost moisturestress sugar cane crop mackayburdekin region queensland central coast australian sugar produc associ spokesman said previous report region undergo sever dri spell partli reliev scatter rainfal sinc decemb follow virtual failur summer wet season mill area report crop begin look healthi greener put growth sinc rain began spokesman said brisban although mackayburdekin crop outlook much better cane loss spokesman said earli say rain need restor subsoil moistur elsewher far north queensland bundaberg region southern queensland cane excel condit mill forecast record crop said initi 1987 crop estim probabl compil toward end may said cane crush normal run june decemb,sugar
french trader forecast ec sugar tender european commun ec expect award export licenc today weekli tender 60000 possibl 100000 tonn white sugar last week award 102350 tonn trader said expect maximum rebat 4640 4650 ecu per 100 kilo compar last week 46864 earlier trader london said outcom tender hard predict last week substanti award place 785000 tonn sugar intervent said believ tonnag would around 60000 declin give rebat figur,sugar
itali la fondiaria report higher 1986 profit italian insur la fondiaria spa lfdimi said expect report consolid group profit 1986 significantli higher 60 billion lira report 1985 compani said statement parent compani net profit last year rise 72 billion lira report 1985 consolid group premium total 1700 billion lira 1986 compar 1490 billion previou year iniziativa meta inzimi financi servic unit montedison spa monimi control largest singl stake florencebas fondiaria 499 pct,earn
higher 1986 profit dutch chemic firm dsm fulli stateown dutch chemic firm nv dsm dsmna said 1986 net profit rose 412 mln guilder 402 mln 1985 turnov fell 177 billion guilder 1986 241 billion 1985 compani said 1986 dividend paid dutch state capac firm sole sharehold would rais 98 mln guilder 70 mln guilder 1985 initi comment 1986 result dsm said drop 1986 turnov caus mainli loss compani fertil divis,earn
cincinnati bell csn start auxton auxt bid cincinnati bell inc said start previouslyannounc 1575 dlr per share tender offer share auxton comput enterpris inc newspap advertis compani said tender withdraw right expir may five unless extend offer approv auxton board follow merger price condit receipt major auxton vote stock fulli dilut basi,acq
california biotech cbio see 1st qtr loss california biotechnolog inc said expect report loss 1300000 dlr 1600000 dlr first quarter due increas invest research manufactur scaleup product compani said research spend run 50 60 pct year ago tri commerci product quickli possibl increas expenditur expect continu sever quarter said oper result fluctuat quarter quarter depend time signific payment commerci partner first three month 1986 compani lost 150000 dlr compani chang fiscal year 1986 calendar year year end novemb 30 first quarter last year end februari 28 california biotech earn 114000 dlr,earn
pall corp pll set quarterli dividend qtli div 812 ct v 812 ct prior pay may one record april 20,earn
unilev seek buyer stauffer chemic unilev plc nv una issu prospectu invest banker goldman sach co seek buyer stauffer chemic co u acquir recent takeov chesebroughpond inc unilev spokesman said note unilev indic plan dispos stauffer plu smaller asset chesebrough sinc bid made decemb stauffer sale prospectu sent recent week number compani express interest unilev spokesman declin say much group expect receiv stauffer chesebrough footwear tenni racket busi also like dispos ad immedi avail financi inform stauffer whollyown limit ad nine month sale septemb 1986 12 billion dlr unilev aquir chesebrough 32 billion dlr order benefit wellknown toiletri brand food product,acq
conrac corp said enter talk acquisit sever parti conrac corp said enter talk acquisit sever parti,acq
conrac cax merger talk sever conrac corp sait start negoti sever interest parti possibl acquisit said assur transact result talk gave detail mark iv industri inc iv start tender conrac share 25 dlr march 24 own 99 pct conrac start bid conrac produc market computerrel inform display commun equip also produc special purpos architectur industri product own codeaphon corp produc telephon answer machin 1986 compani report profit 78 mln dlr 116 dlr share sale 1539 mln dlr nearli 68 mln share outstand,acq
comput research inc core 2nd qtr feb 28 net shr 14 ct v nine ct net 217572 v 153454 rev 2530273 v 2558924 1st half shr 19 ct v 11 ct net 299838 v 174739 rev 4865249 v 4495021,earn
australian foreign ship ban end tug crew new south wale nsw victoria western australia yesterday lift ban foreignflag ship carri contain nsw port still disrupt separ disput ship sourc said ban impos week ago pay claim prevent movement port nearli 20 vessel said pay disput went hear arbitr commiss today meanwhil disrupt began today cargo handl port sydney newcastl port kembla said industri action nsw port part week action call nsw trade labour council protest chang state worker compens law,ship
rubbermaid inc 1st qtr shr 28 ct v 22 ct rubbermaid inc 1st qtr shr 28 ct v 22 ct,earn
independ chairman dutch cargo disput two side rotterdam port gener cargo disput agre appoint independ chairman han lammer presid futur meet employ spokesman gerard zeebregt said lammer queen commission provinc flevoland act mediat draw agenda procedur meet employ union workpractic agreement propos redund two month strike sector began januari 19 protest employ propos 350 redund 4000strong workforc year strike call main port union fnv march 13 follow amsterdam court interim injunct redund procedur ground court due make final rule may 7 zeebregt said expect judgment go employ therefor like restart complic legal redund procedur near futur meanwhil disput new workpractic agreement port grain sector continu 30 mainten worker strike although load affect spokesman graan elev mij largest employ sector said employ written union ask reconsid posit meet union member call tomorrow,ship
electro rent corp elrc 3rd qtr feb 28 net shr 20 ct v 32 ct net 1358000 v 2476000 rev 271 mln v 262 mln avg shr 6852000 v 7764000 nine mth shr 68 ct v 105 dlr net 4957000 v 8129000 rev 826 mln v 788 mln avg shr 7316000 v 7754000,earn
rubbermaid inc rbd 1st qtr net shr 28 ct v 22 ct net 206 mln v 161 mln sale 2380 mln v 1888 mln,earn
wtc intern inc waf 4th qtr feb 28 net shr profit 13 ct v loss 33 ct net profit 1149000 v loss 2833000 rev 518 mln v 478 mln year shr profit 24 ct v loss 18 ct net profit 2050000 v loss 1551000 rev 2006 mln v 1801 mln,earn
uk money market given 166 mln stg help bank england said provid market help total 166 mln stg afternoon band one bought 31 mln stg treasuri bill three mln stg bank bill 978 pct band two bought 69 mln stg bank bill 91316 pct addit bought 63 mln stg band three bank bill 934 pct bring total assist bank far today 219 mln stg liquid shortag estim around 300 mln stg,interest
mead corp 1st qtr oper shr 109 dlr v 67 ct mead corp 1st qtr oper shr 109 dlr v 67 ct,earn
rubbermaid rbd see continu improv rubbermaid inc said incom order rate continu strong expect continu record favor year year comparison remain quarter 1987 today compani report first quarter earn 206 mln dlr sale 2380 mln dlr earn 161 mln dlr sale 1888 mln dlr,earn
cayuga save bank cayb 1st qtr net shr 55 ct v 41 ct net 494000 v 204000 avg shr 896655 v 494155,earn
johnstown save bank fsb jsbk 1st qtr net shr 33 ct v given net 642484 v 362883 note compani went public octob 1986 net includ pretax loan loss provis 90000 dlr v 56250 dlr gain sale secur 113432 dlr v 88946 dlr,earn
home save loan associ inc hsld 2nd qtr march 31 shr 57 ct v given net 790874 v 628020 1st half shr 115 dlr v given net 1588985 v 1073163 note compani recent went public,earn
geodynam corp gdyn 3rd qtr feb 27 net shr 21 ct v 20 ct net 596000 v 594000 rev 8693000 v 8164000 nine mth shr 61 ct v 58 ct net 1784000 v 1653000 rev 263 mln v 230 mln,earn
compaq cpq expect higher first quarter net compaq comput corp said expect sale earn first quarter 1987 higher analyst expect due strong demand product rod canion presid chief execut offic compaq said expect sale 200 mln dlr period end march 31 analyst estim 165185 mln dlr ad earn per share would exceed analyst estim high 42 ct share compaq report earn 83 mln dlr 30 ct share sale 144 mln dlr first quarter 1986 compani said demand deskpro 386 portabl iii new compaq deskpro 286 contribut sale increas initi demand recent introduc compaq portabl iii new model compaq deskpro 286 exce compaq person comput canion said saw continu demand person comput across quarter march 1987 particularli strong month,earn
iu intern iu sell insur unit iu intern co said reach preliminari agreement sell hawaiian insur co hawaiian electr industri inc term transact disclos compani said transact subject execut definit agreement certain government approv approv board director involv iu intern said hawaiian electr said plan purchas part strategi increas compani invest select servic industri hawaii includ financi servic,acq
cxr telcom corp cxrl 3rd qtr march 31 net shr nil v nil net 215000 v 16000 rev 2800000 v 1100000 nine mth shr one ct v nil net 620000 v 231000 rev 8100000 v 2100000,earn
proxmir outlin insid trade legisl senat bank committe chairman william proxmir dwi said plan introduc legisl shortli requir greater public disclosur corpor takeov fairer treatment sharehold speak nation associ manufactur proxmir said recent insid trade stock scandal increas chanc congress act curb abus propos legisl would provid disclosur would fairer sharehold would insur takeov properli financ said among provis bill would reduc threshold notifi secur exchang commiss investor group acquir percentag stock compani three pct current five pct threshold within 10 day proxmir said addit would prenotificaton requir investor intend aquir three pct would file sec proxmir said prenotif requir meant prevent arbitrag jump gener public know come takeov attempt proxmir said would call extend period tender offer must kept open william act 60 busi day current 20 busi day bill would provid privat suit acquir compani violat time period tender offer correct abus financ takeov proxmir said legisl would aim insur current margin requir properli enforc feder reserv board 50 pct margin requir purchas stock proxmir said gener enforc hostil takeov rather group individu lead takeov declar rais capit takeov without actual put money proxmir said said bill would allow privat suit damag failur meet feder reserv 50 pct margin requir bill also would requir disclos sever investor form allianc hostil takeov picken icahn get togeth want peopl know proxmir said proxmir said favor approach use britain toward twotier tender offer insur sharehold reciev equal treatment said expect amend bill also would cover defens mechan green mail poison pill proxmir said intend introduc bill later month predict senat committe would act spring said hope congress could pas bill year,acq
helen troy corp hele 4th qtr feb 28 net shr 17 ct v 13 ct net 598000 v 392000 sale 102 mln v 7474000 avg shr 3432000 v 3045000 year oper shr profit 105 dlr v loss 47 ct oper net profit 3498000 v loss 1427000 sale 522 mln v 408 mln avg shr 3320000 v 3060000 note latest year net exclud 782000 dlr tax credit,earn
banker trust bt put brazil nonaccru banker trust new york corp said place approxim 540 mln dlr medium longterm loan brazil nonaccru statu firstquart net incom reduc seven mln dlr result brazil suspend interest payment 68 billion dlr medium longterm debt februari 22 u bank regul requir bank stop accru interest loan payment 90 day overdu banker trust said act high potenti continu suspens would result reach 90day limit second quarter 1987 assum cash payment current interest rate receiv rest 1987 banker trust estim fullyear net incom would reduc 30 mln dlr banker trust said assum debt negoti brazil commerci bank lender lead resumpt interest payment negoti resum new york friday central bank governor francisco gro expect ask bank 90day rollov 95 billion dlr term debt matur april 15,earn
first mercantil currenc fund inc 1st qtr net shr profit 63 ct v 22 ct net 775868 v 276446 rev 2255742 v 706130,earn
uk intervent bd say ec sold 118350 tonn white sugar rebat 46496 ecu uk intervent bd say ec sold 118350 tonn white sugar rebat 46496 ecu,sugar
stoltenberg see move strengthen pari accord west german financ minist gerhard stoltenberg said today meet major industri countri would look way strengthen pari accord stabil foreign exchang rate stoltenberg told journalist saw fundament weak februari 22 agreement group five countri canada keep exchang rate near thencurr level declin say measur would discus ahead communiqu group seven minist later today stoltenberg bundesbank presid karl otto poehl said import pari agreement also known louvr accord underestim stoltenberg said greater agreement among major countri six month ago time annual meet intern monetari fund world bank mark sharp discord unit state major trade partner fundament weak pari accord said look way strengthen want discus stoltenberg said louvr agreement work despit slight firm yen dollar poehl note dollarmark pariti unchang sinc februari 22 without bundesbank sell mark support dollar louvr agreement honor market said poehl said west germani live side bargain pari prepar way tax cut acceler way stimul growth poehl said howev japan yet fulfil pledg econom stimul see unit state abl promis pari reduc budget deficit get congress ad stoltenberg reiter west german concern fall dollar note mark 85 pct dollar nearli 20 pct tradeweight basi cannot expect go unnot economi german problem european problem said,money-fx
